127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.003525
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002096
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003383
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001609
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002251
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001262
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001937
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001607
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003238
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001414
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001292
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001725
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000451
127.0.0.1, 2018-04-10 15:42:53, GET, /admin/default/design/start, HTTP/1.1, 200, 0.114705
127.0.0.1, 2018-04-10 15:42:53, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000865
127.0.0.1, 2018-04-10 15:42:53, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.000916
127.0.0.1, 2018-04-10 15:42:53, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001639
127.0.0.1, 2018-04-10 15:42:53, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001086
127.0.0.1, 2018-04-10 15:45:36, POST, /admin/default/site, HTTP/1.1, 303, 0.080411
127.0.0.1, 2018-04-10 15:45:37, GET, /admin/default/design/test, HTTP/1.1, 200, 0.133204
127.0.0.1, 2018-04-10 15:46:01, GET, /admin/default/index, HTTP/1.1, 303, 0.002406
127.0.0.1, 2018-04-10 15:46:01, GET, /admin/default/site, HTTP/1.1, 200, 0.028730
127.0.0.1, 2018-04-10 15:46:02, GET, /test/default/index, HTTP/1.1, 200, 0.052215
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000681
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001489
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/web2py.js, HTTP/1.1, 200, 0.001312
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/css/calendar.css, HTTP/1.1, 200, 0.001295
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003001
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002217
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/calendar.js, HTTP/1.1, 200, 0.001017
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/jquery.js, HTTP/1.1, 200, 0.001626
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001480
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/js/share.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/images/gplus-32.png, HTTP/1.1, 200, 0.001324
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/images/facebook.png, HTTP/1.1, 200, 0.002181
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/images/twitter.png, HTTP/1.1, 200, 0.001933
127.0.0.1, 2018-04-10 15:46:02, GET, /test/static/images/favicon.ico, HTTP/1.1, 200, 0.000409
127.0.0.1, 2018-04-10 15:46:08, GET, /examples/default/index, HTTP/1.1, 200, 0.006324
127.0.0.1, 2018-04-10 15:46:18, GET, /admin/default/site, HTTP/1.1, 200, 0.028838
127.0.0.1, 2018-04-10 15:46:22, GET, /admin/default/design/test, HTTP/1.1, 200, 0.077811
127.0.0.1, 2018-04-10 15:46:47, GET, /start/default/index, HTTP/1.1, 200, 0.023370
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.037132
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001376
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001033
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001912
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002247
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001946
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002594
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000830
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002147
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002091
